Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1540924,00000118,false,Rx,0,8,5B,01,E1,20,00,00,40,00,
1541041,0000012A,false,Rx,0,8,06,2A,7F,95,73,95,77,95,
1541127,00000401,false,Rx,0,8,04,2A,7E,95,70,95,84,95,
1541214,0000012A,false,Rx,0,8,07,2A,63,95,70,95,52,95,
1541333,00000152,false,Rx,0,8,00,2A,D4,C3,FE,C2,61,C2,
1541426,00000172,false,Rx,0,8,00,2A,E1,8B,C5,8B,AE,8B,
1541544,0000020A,false,Rx,0,6,36,65,2E,A2,18,21,00,00,
1541629,0000022A,false,Rx,0,4,00,00,F9,16,00,00,00,00,
1541747,00000232,false,Rx,0,8,09,04,D3,09,CB,04,00,00,
1541832,000003B2,false,Rx,0,8,55,0E,81,04,0C,5C,BB,06,
1541950,00000401,false,Rx,0,8,05,2A,80,95,63,95,6F,95,
1542036,00000712,false,Rx,0,8,00,2A,08,07,EA,06,F4,06,
1542158,0000076C,false,Rx,0,8,7E,80,50,01,96,00,7E,21,
1542244,00000401,false,Rx,0,8,06,2A,7E,95,73,95,77,95,
1542363,0000012A,false,Rx,0,8,08,2A,40,95,50,95,5E,95,
1542448,00000401,false,Rx,0,8,07,2A,62,95,70,95,51,95,
1542534,0000013D,false,Rx,0,6,05,00,AA,1A,FF,01,00,00,
1542652,0000073D,false,Rx,0,8,03,00,EF,18,00,00,00,00,
1542769,0000012A,false,Rx,0,8,09,2A,51,95,60,95,3D,95,
1542854,00000401,false,Rx,0,8,08,2A,40,95,50,95,5D,95,
1542940,00000118,false,Rx,0,8,5C,02,E1,20,00,00,40,00,
1543058,0000079D,false,Rx,0,8,09,02,67,35,35,AB,67,2C,
1543177,00000401,false,Rx,0,8,09,2A,50,95,60,95,3C,95,
1543262,0000012A,false,Rx,0,8,0A,2A,72,95,5A,95,62,95,
1543355,00000232,false,Rx,0,8,09,04,CF,09,CA,04,00,00,
1543472,0000020A,false,Rx,0,6,36,65,2E,A2,18,21,00,00,
1543558,0000014A,false,Rx,0,8,01,2A,26,07,08,07,EA,06,
1543676,0000022A,false,Rx,0,4,00,00,F9,16,00,00,00,00,
1543793,000003B2,false,Rx,0,8,56,0E,81,04,0C,5C,BB,06,
1543879,00000401,false,Rx,0,8,0A,2A,71,95,59,95,61,95,
1543964,00000712,false,Rx,0,8,01,2A,26,07,08,07,EA,06,
1544083,00000221,false,Rx,0,8,20,41,01,00,54,51,11,3B,
1544171,0000012A,false,Rx,0,8,0B,2A,69,95,7A,95,69,95,
1544289,000007BD,false,Rx,0,8,69,0D,93,F6,1C,D2,CE,01,
1544383,0000076C,false,Rx,0,8,01,18,18,1E,21,1A,2B,0B,
1544501,00000401,false,Rx,0,8,0B,2A,68,95,79,95,68,95,
1544618,0000012A,false,Rx,0,8,0C,2A,4A,95,6E,95,57,95,
1544703,00000401,false,Rx,0,8,0C,2A,49,95,6E,95,57,95,
1544789,0000013D,false,Rx,0,6,05,00,AA,1A,FF,01,00,00,
1544907,0000073D,false,Rx,0,8,04,00,00,00,00,00,00,00,
1544993,00000401,false,Rx,0,8,0D,2A,60,95,75,95,65,95,
1545110,0000012A,false,Rx,0,8,0D,2A,60,95,76,95,66,95,
1545198,00000118,false,Rx,0,8,5D,03,E1,20,00,00,40,00,
1545283,00000401,false,Rx,0,8,0E,2A,64,95,60,95,78,95,
1545409,0000012A,false,Rx,0,8,0E,2A,66,95,61,95,78,95,
1545527,0000020A,false,Rx,0,6,36,65,2E,A2,18,21,00,00,
1545612,0000014A,false,Rx,0,8,02,0A,F4,06,26,07,FF,7F,
1545698,00000232,false,Rx,0,8,09,04,D2,09,CA,04,00,00,
1545815,000003B2,false,Rx,0,8,56,0E,83,04,0C,5C,BB,06,
1545901,00000401,false,Rx,0,8,0F,2A,70,95,74,95,6A,95,
1546018,00000712,false,Rx,0,8,02,0A,F4,06,26,07,00,00,
1546104,0000074A,false,Rx,0,8,01,00,00,00,00,00,00,00,
1546222,0000022A,false,Rx,0,4,00,00,F9,16,00,00,00,00,
1546307,0000076C,false,Rx,0,8,02,03,04,03,07,00,02,00,
1546427,00000401,false,Rx,0,8,10,2A,74,95,80,95,6E,95,
