Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
132493897,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
132494035,0000022A,false,Rx,0,4,00,00,D9,15,00,00,00,00,
132494489,0000012A,false,Rx,0,8,12,2A,17,8E,1F,8E,11,8E,
132494769,00000401,false,Rx,0,8,16,2A,1D,8E,1C,8E,1D,8E,
132496044,0000013D,false,Rx,0,6,00,00,00,00,FF,00,00,00,
132496326,0000073D,false,Rx,0,8,05,DD,AC,E6,AC,02,00,00,
132496778,00000401,false,Rx,0,8,17,2A,1B,8E,19,8E,1E,8E,
132497476,0000012A,false,Rx,0,8,13,2A,18,8E,1C,8E,17,8E,
132497838,0000076C,false,Rx,0,8,0B,02,00,D0,20,FF,0F,32,
132498797,00000401,false,Rx,0,8,18,2A,10,8E,0F,8E,11,8E,
132500228,00000232,false,Rx,0,8,4A,00,D6,09,CC,04,00,00,
132500435,000003B2,false,Rx,0,8,A1,0D,FA,FF,00,57,BB,06,
132500715,0000012A,false,Rx,0,8,14,2A,14,8E,13,8E,1F,8E,
132500915,00000401,false,Rx,0,8,19,2A,0F,8E,0B,8E,0C,8E,
132501197,00000712,false,Rx,0,8,04,00,00,00,00,00,00,00,
132502469,0000012A,false,Rx,0,8,15,2A,14,8E,11,8E,12,8E,
132502668,00000221,false,Rx,0,8,21,01,55,00,00,00,C0,5A,
132502949,00000401,false,Rx,0,8,1A,2A,12,8E,0D,8E,14,8E,
132503645,0000014A,false,Rx,0,8,03,00,00,00,00,00,00,00,
132503844,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
132504043,0000022A,false,Rx,0,4,00,00,D9,15,00,00,00,00,
132504740,00000401,false,Rx,0,8,1B,2A,0E,8E,14,8E,12,8E,
132505436,0000012A,false,Rx,0,8,16,2A,1D,8E,1C,8E,1D,8E,
132506041,0000013D,false,Rx,0,6,00,00,00,00,FF,00,00,00,
132506323,0000073D,false,Rx,0,8,06,00,00,50,02,1F,00,00,
132506775,00000401,false,Rx,0,8,1C,2A,09,8E,01,8E,0B,8E,
132507879,0000076C,false,Rx,0,8,0C,00,00,00,20,00,00,00,
132508323,0000012A,false,Rx,0,8,17,2A,1B,8E,1A,8E,1E,8E,
132508774,00000401,false,Rx,0,8,1D,2A,05,8E,00,8E,06,8E,
132510205,00000232,false,Rx,0,8,4A,00,D8,09,CB,04,00,00,
132510492,000003B2,false,Rx,0,8,A1,0D,FA,FF,00,57,BB,06,
132510691,00000712,false,Rx,0,8,05,00,00,00,00,00,00,00,
132510970,00000401,false,Rx,0,8,1E,2A,08,8E,05,8E,0D,8E,
132511504,0000012A,false,Rx,0,8,18,2A,11,8E,0F,8E,11,8E,
132512769,00000401,false,Rx,0,8,1F,2A,09,8E,0C,8E,0C,8E,
132513468,0000012A,false,Rx,0,8,19,2A,0F,8E,0B,8E,0C,8E,
132513667,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
132513866,0000022A,false,Rx,0,4,00,00,D9,15,00,00,00,00,
132514805,00000401,false,Rx,0,8,20,00,00,00,00,00,00,00,
132516070,0000013D,false,Rx,0,6,00,00,00,00,FF,00,00,00,
132516270,0000073D,false,Rx,0,8,07,00,00,00,00,00,00,00,
132516558,00000339,false,Rx,0,8,78,41,02,00,00,03,40,03,
132516757,0000012A,false,Rx,0,8,1A,2A,12,8E,0D,8E,14,8E,
132517037,00000401,false,Rx,0,8,21,00,00,00,00,00,00,00,
132517896,0000076C,false,Rx,0,8,0D,04,32,8F,BB,28,00,00,
132518756,00000401,false,Rx,0,8,22,00,00,00,00,00,00,00,
132519036,00000545,false,Rx,0,8,26,00,36,C0,9B,B8,E9,A2,
132519569,0000012A,false,Rx,0,8,1B,2A,0E,8E,14,8E,11,8E,
132520261,00000232,false,Rx,0,8,4A,00,D9,09,CB,04,00,00,
132520469,00000152,false,Rx,0,8,02,0A,30,C3,03,C3,00,00,
132520668,00000172,false,Rx,0,8,02,0A,ED,84,F9,84,00,00,
132520949,000003B2,false,Rx,0,8,A1,0D,FA,FF,00,57,BB,06,
132521148,00000401,false,Rx,0,8,23,00,00,00,00,00,00,00,
132522333,0000012A,false,Rx,0,8,1C,2A,09,8E,02,8E,0C,8E,
132523769,0000014A,false,Rx,0,8,04,00,00,00,00,00,00,00,
132523968,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
132524169,0000074A,false,Rx,0,8,02,00,00,00,00,00,00,00,
132524376,0000022A,false,Rx,0,4,00,00,D9,15,00,00,00,00,
132525559,0000012A,false,Rx,0,8,1D,2A,05,8E,00,8E,06,8E,
132526084,0000013D,false,Rx,0,6,00,00,00,00,FF,00,00,00,
132526287,0000073D,false,Rx,0,8,38,00,01,00,00,00,00,00,
132527560,0000012A,false,Rx,0,8,1E,2A,09,8E,05,8E,0E,8E,
132527840,0000076C,false,Rx,0,8,0E,47,AF,10,BA,02,00,00,
132528039,000001F9,false,Rx,0,1,00,00,00,00,00,00,00,00,
132530208,00000232,false,Rx,0,8,4A,00,D8,09,CB,04,00,00,
132530497,0000012A,false,Rx,0,8,1F,2A,09,8E,0C,8E,0D,8E,
132530696,000003B2,false,Rx,0,8,A1,0D,FA,FF,00,57,BB,06,
132533612,0000012A,false,Rx,0,8,20,00,00,00,00,00,00,00,
132533811,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
132534091,0000014A,false,Rx,0,8,05,00,00,00,00,00,00,00,
132534212,0000022A,false,Rx,0,4,00,00,D9,15,00,00,00,00,
132535069,000003A1,false,Rx,0,8,48,62,48,95,00,20,E2,1A,
132536089,0000013D,false,Rx,0,6,00,00,00,00,FF,00,00,00,
132536292,0000073D,false,Rx,0,8,39,13,F0,18,B3,01,8F,D1,
132536579,0000012A,false,Rx,0,8,21,00,00,00,00,00,00,00,
132537844,0000076C,false,Rx,0,8,14,1A,20,00,64,00,80,00,
132538378,0000012A,false,Rx,0,8,22,00,00,00,00,00,00,00,
132540049,000002C4,false,Rx,0,8,55,00,02,04,10,00,FF,00,
132540249,00000232,false,Rx,0,8,4A,00,D0,09,CB,04,00,00,
132540538,00000204,false,Rx,0,8,01,00,00,FF,00,00,00,10,
132540737,000003B2,false,Rx,0,8,A1,0D,FA,FF,00,57,BB,06,
132540935,00000264,false,Rx,0,6,34,00,00,00,A0,00,00,00,
132541215,00000224,false,Rx,0,8,04,08,00,40,19,01,10,08,
132541412,000002B4,false,Rx,0,5,5A,31,25,78,00,00,00,00,
132541701,0000012A,false,Rx,0,8,23,00,00,00,00,00,00,00,
132543708,0000020A,false,Rx,0,6,F6,15,09,82,18,01,00,00,
132543907,0000022A,false,Rx,0,4,00,00,D9,15,00,00,00,00,
132559449,0000012A,false,Rx,0,8,00,2A,1D,8E,1A,8E,22,8E,
132559547,0000013D,false,Rx,0,6,00,00,00,00,FF,00,00,00,
132559645,0000073D,false,Rx,0,8,0A,00,00,00,00,00,00,00,
132559731,0000012A,false,Rx,0,8,01,2A,20,8E,1D,8E,16,8E,
132559816,0000076C,false,Rx,0,8,15,01,00,D0,20,00,00,32,
132559902,0000077A,false,Rx,0,8,01,00,60,5D,90,5D,6C,5D,
132559987,0000024A,false,Rx,0,1,03,00,00,00,00,00,00,00,
132560072,00000682,false,Rx,0,8,00,00,00,40,04,17,F0,CA,
132560191,0000012A,false,Rx,0,8,02,2A,1C,8E,1F,8E,1C,8E,
132560277,00000232,false,Rx,0,8,4A,00,D4,09,CB,04,00,00,
