Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
64855239,000005FE,false,Rx,0,8,38,00,00,00,00,00,00,00,
64989935,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
64999912,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65009961,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65019933,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65029902,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65039953,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65049948,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65059958,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65069961,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65079866,0000031E,false,Rx,0,8,38,00,00,00,00,00,00,00,
65079984,0000041D,false,Rx,0,1,31,00,00,00,00,00,00,00,
65080266,0000021D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65080384,0000077D,false,Rx,0,3,33,00,00,00,00,00,00,00,
65080671,0000025D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65080788,000007DD,false,Rx,0,1,31,00,00,00,00,00,00,00,
65080905,0000023D,false,Rx,0,4,34,00,00,00,00,00,00,00,
65081185,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65081386,0000027D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65081593,0000029D,false,Rx,0,4,34,00,00,00,00,00,00,00,
65081791,000002BD,false,Rx,0,4,34,00,00,00,00,00,00,00,
65088065,0000050E,false,Rx,0,8,38,00,00,00,00,00,00,00,
65089909,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65099971,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65109939,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65119936,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65129912,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65139963,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65149952,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65159966,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65169933,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65180005,0000031E,false,Rx,0,8,38,00,00,00,00,00,00,00,
65180122,0000041D,false,Rx,0,1,31,00,00,00,00,00,00,00,
65180404,0000021D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65180530,0000077D,false,Rx,0,3,33,00,00,00,00,00,00,00,
65180810,0000025D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65180927,000007DD,false,Rx,0,1,31,00,00,00,00,00,00,00,
65181044,0000023D,false,Rx,0,4,34,00,00,00,00,00,00,00,
65181326,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65181614,0000027D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65181732,0000029D,false,Rx,0,4,34,00,00,00,00,00,00,00,
65181931,000002BD,false,Rx,0,4,34,00,00,00,00,00,00,00,
65190187,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65199936,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65209902,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65219952,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65229917,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65239968,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65249963,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65259930,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65269944,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65279881,0000075D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65280080,0000021D,false,Rx,0,8,38,00,00,00,00,00,00,00,
65280280,0000041D,false,Rx,0,1,31,00,00,00,00,00,00,00,
