Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
25211349,000005FE,false,Rx,0,8,38,00,00,00,00,00,00,00,
25807469,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25817537,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25827502,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25837541,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25847543,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25857528,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25867524,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25877492,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25887563,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25897400,0000031E,false,Rx,0,8,38,00,00,00,00,00,00,00,
25897525,0000041D,false,Rx,0,1,31,00,00,00,00,00,00,00,
25897806,0000021D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25898005,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25898287,0000025D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25898493,0000023D,false,Rx,0,4,34,00,00,00,00,00,00,00,
25898773,0000027D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25898891,0000029D,false,Rx,0,4,34,00,00,00,00,00,00,00,
25899089,000002BD,false,Rx,0,4,34,00,00,00,00,00,00,00,
25906766,0000050E,false,Rx,0,8,38,00,00,00,00,00,00,00,
25906965,0000050E,false,Rx,0,8,38,00,00,00,00,00,00,00,
25907492,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25917476,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25927540,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25937539,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25947524,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25957494,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25967556,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25977517,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25987512,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25997403,0000031E,false,Rx,0,8,38,00,00,00,00,00,00,00,
25997528,0000041D,false,Rx,0,1,31,00,00,00,00,00,00,00,
25997808,0000021D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25998088,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25998294,0000025D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25998500,0000023D,false,Rx,0,4,34,00,00,00,00,00,00,00,
25998781,0000027D,false,Rx,0,8,38,00,00,00,00,00,00,00,
25998979,0000029D,false,Rx,0,4,34,00,00,00,00,00,00,00,
25999096,000002BD,false,Rx,0,4,34,00,00,00,00,00,00,00,
26007506,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
26017543,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
26027507,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
26037558,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
26047543,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
26057513,0000073D,false,Rx,0,8,38,00,00,00,00,00,00,00,
